track_id,track_name,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6u8hSdYZxbK5EczDPRIXXf,Something New (feat. Ty Dolla $ign),137W8MRPWKqSmrBGDBFSop,spotify:album:0YFou4SbS16F4GhSADLDfz,200773,2018-07-13,75,0.814,0.635,7,-6.609,0,0.0809,0.0935,0.0,0.0892,0.784,87.581
7EoLMCwL7LfLsLF8acLpih,Landas,28B54RKpJrEmDoGSTjsfY6,spotify:album:0Q66wsJckZoOdDhdMSlXvy,310481,2020-03-06,62,0.43,0.547,2,-7.767,1,0.0287,0.222,1.92e-06,0.0842,0.121,149.841
2rRJrJEo19S2J82BDsQ3F7,Falling,7uaIm6Pw7xplS8Dy06V6pT,spotify:album:1Hy76RlNvOHe6cpih1RxXq,159381,2020-03-26,77,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087
1raaNykBg1bDnWENUiglUA,Break My Heart,6M2wZ9GZgrQXHCFfjv46we,spotify:album:368tzVdeju4vLSY8PHnQUs,221820,2020-03-25,85,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012
47UUjZbqZjcrzELnFBB1Ht,Teka Lang,3FwNjtXQCdxpDOXmgJQGnG,spotify:album:0rceew9Oyt5S1NCUaou2Zm,196582,2020-03-25,68,0.586,0.169,2,-15.515,1,0.0324,0.76,0.0,0.0909,0.197,87.003
55CHeLEfn5iJ0IIkgaa4si,Savage,181bsRPaVXVlUKXrxwZfHK,spotify:album:6Lo6ylJg4qbFfxicPEOzMI,155497,2020-03-06,89,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,183290,2020-03-27,86,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,221820,2020-03-27,86,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012
3AzjcOeAmA57TIOr9zF1ZW,Physical,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,193829,2020-03-27,85,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.962
6D9DwqiHiMKmy2V7HvN6zs,Paalam,0rZRTXEmmPmx6gt92tBqIc,spotify:album:64cjwPaR72rW2Wzm9uWE3c,291108,2020-03-27,52,0.292,0.308,4,-7.562,1,0.0305,0.671,2.22e-06,0.102,0.198,98.487
5QJYLlZvfZHX1wUTrgROru,"Patawad, Paalam",0rZRTXEmmPmx6gt92tBqIc,spotify:album:64cjwPaR72rW2Wzm9uWE3c,323140,2020-03-27,52,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987
6zrJLhslleCHby0wbUnvVy,Future Nostalgia,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,184881,2020-03-27,80,0.875,0.813,7,-4.502,1,0.0578,0.00618,0.0,0.321,0.859,114.994
39LLxExYz6ewLAcYrzQQyP,Levitating,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,203807,2020-03-27,82,0.695,0.883,6,-2.286,0,0.0778,0.0533,0.0,0.213,0.907,103.014
