artist_id,artist_name,total_followers,genres,popularity
6ueGR6SWhUJfvEhqkvMsVs,Janelle Monáe,859612,"['afrofuturism', 'alternative r&b', 'art pop', 'atl hip hop', 'dance pop', 'electropop', 'escape room', 'neo soul', 'pop', 'r&b']",70
23zg3TcAtWQy7J6upgbUnj,Usher,7588930,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",81
0b1sIQumIAsNbqAoIClSpy,j-hope,2947948,"['k-hop', 'k-pop']",66
38CvLGTsjtoloDgv3OKQp8,Robinson,49905,"['australian pop', 'nz pop', 'pop']",62
3Hvxz2oZPYuo61ChHKcqQI,Autotelic,136905,"['opm', 'pinoy indie', 'pinoy rock']",47
5RR0MLwcjc87wjSw2JYdwx,MOMOLAND,1655892,"['k-pop', 'k-pop girl group']",62
6beUvFUlKliUYJdLOXNj9C,King Princess,685626,"['dance pop', 'electropop', 'indie pop', 'nyc pop', 'pop']",72
3Isy6kedDrgPYoTS1dazA9,Sean Paul,2980976,"['dance pop', 'dancehall', 'pop', 'pop rap']",82
4mrrcDjpjUq27YEGwlisgs,Gracenote,30190,"['opm', 'pinoy indie', 'pinoy rock']",49
1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,1590301,"['comedy rap', 'pop rap', 'rap']",74
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,400802,['israeli pop'],72
33W1pnW9zScZtYTnAoWnOT,Mr. Probz,292782,"['dutch hip hop', 'tropical house']",71
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,555660,['hip hop'],62
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,2084018,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
5jAMCwdNHWr7JThxtMuEyy,NOTD,112250,"['dance pop', 'edm', 'electropop', 'pop', 'pop edm', 'post-teen pop', 'tropical house']",73
3JXpwnHbLvXxY99EuXqFPX,Poo Bear,31631,['deep pop r&b'],58
7n2Ycct7Beij7Dj7meI4X0,TWICE,5049471,"['k-pop', 'k-pop girl group']",78
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,1116035,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'neo-synthpop', 'shimmer pop']",73
2KU7pJgPoJC3uwJRZPYQ8G,BATE,1144,['malaysian indie'],48
25tMQOrIU4LlUo6Sv8v5SE,Gavin James,405223,"['neo mellow', 'pop', 'pop rock', 'uk pop', 'viral pop']",70
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,10653052,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",87
