Position,Track Name,Artist,Streams,URL,Date,Region
92,All Falls Down (feat. Juliander),Alan Walker,37523,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,2018-02-01,ph
93,Mau,Shanti Dope,37476,https://open.spotify.com/track/0BkKdJSpKqzYLEneerSHq3,2018-02-01,ph
94,Kung Wala Ka,Hale,37057,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn,2018-02-01,ph
95,Sa'yo,Silent Sanctuary,35701,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw,2018-02-01,ph
96,Iris,The Goo Goo Dolls,35665,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,2018-02-01,ph
97,Something Just Like This,The Chainsmokers,35537,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2018-02-01,ph
98,I'm Not The Only One,Sam Smith,35017,https://open.spotify.com/track/0fioLzGM8ngbD1w6fMmm45,2018-02-01,ph
99,Bad Boy,Red Velvet,34538,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc,2018-02-01,ph
100,Closer,The Chainsmokers,34506,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2018-02-01,ph
101,Before I Let You Go,Freestyle,34465,https://open.spotify.com/track/1VvFtp71ibaXiHxurBlXuw,2018-02-01,ph
102,Let Me Be the One,Julie Anne San Jose,34207,https://open.spotify.com/track/39V6cEoNFwDFRJEOKyj4OR,2018-02-01,ph
103,So Sick,Ne-Yo,34048,https://open.spotify.com/track/4SRqDmPxYX0pUb5B5ut2Ri,2018-02-01,ph
104,13,LANY,33227,https://open.spotify.com/track/3zgs1f6Tj0mn29qTXJuhSY,2018-02-01,ph
105,Tell Me Where It Hurts,MYMP,32739,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA,2018-02-01,ph
106,The Day You Said Goodnight - Acoustic Version,Hale,32611,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI,2018-02-01,ph
107,Attention,Charlie Puth,32154,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2018-02-01,ph
108,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,32036,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM,2018-02-01,ph
109,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,31974,https://open.spotify.com/track/5QVuf1MpdzFtFoJGwcKosa,2018-02-01,ph
110,Breakeven,The Script,31063,https://open.spotify.com/track/1a1i2IwXnUN0PjllVEhA4B,2018-02-01,ph
111,LOVE. FEAT. ZACARI.,Kendrick Lamar,30825,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,2018-02-01,ph
112,Silence,Marshmello,30787,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2018-02-01,ph
113,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,30514,https://open.spotify.com/track/0Dljpp52vCmtXi0E94qjfo,2018-02-01,ph
114,Need You,Bosx1ne,30363,https://open.spotify.com/track/5hCJIUsAqjKFlvKrvCcUIb,2018-02-01,ph
115,Out of My League,Stephen Speaks,30310,https://open.spotify.com/track/2PkQeKapTNUjwpKLf8aJlq,2018-02-01,ph
116,Ngayong Gabi,Al James,30200,https://open.spotify.com/track/5sLGYJOhLP197nmkaRMMEH,2018-02-01,ph
117,Mine,Bazzi,29950,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,2018-02-01,ph
118,Beautiful Soul,Jesse McCartney,29919,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,2018-02-01,ph
119,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,29415,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW,2018-02-01,ph
120,Magbalik,Callalily,29393,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE,2018-02-01,ph
121,Wherever You Will Go,The Calling,29257,https://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz,2018-02-01,ph
122,Rainbow,South Border,29163,https://open.spotify.com/track/3VcVQmMivq2ISfKUmIuvMK,2018-02-01,ph
123,Starving,Hailee Steinfeld,29047,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo,2018-02-01,ph
124,Dusk Till Dawn - Radio Edit,ZAYN,28858,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,2018-02-01,ph
125,With a Smile,South Border,28837,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi,2018-02-01,ph
126,I'm Yours,Jason Mraz,28788,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,2018-02-01,ph
127,Ang Huling El Bimbo,Eraserheads,28648,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r,2018-02-01,ph
128,She Loves Control,Camila Cabello,28596,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy,2018-02-01,ph
129,Despacito - Remix,Luis Fonsi,28487,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2018-02-01,ph
130,Stickwitu,The Pussycat Dolls,28378,https://open.spotify.com/track/5qmXgeIDa1lXB07pgAVlNM,2018-02-01,ph
131,Shantidope,Shanti Dope,28367,https://open.spotify.com/track/6X7eJp4lv4ZeTkWor2wHLz,2018-02-01,ph
132,Stir Fry,Migos,28298,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf,2018-02-01,ph
133,Ikaw Lamang,Silent Sanctuary,28121,https://open.spotify.com/track/2v5VIWMjZxeiG52KckiXxS,2018-02-01,ph
134,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,28034,https://open.spotify.com/track/1qoXYfWILyuN0EatImGlma,2018-02-01,ph
135,No Limit,G-Eazy,27996,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,2018-02-01,ph
136,Cebuana,Karencitta,27891,https://open.spotify.com/track/20PUUNHvpjjPh92Q6x0DC4,2018-02-01,ph
137,She Will Be Loved - Radio Mix,Maroon 5,27646,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16,2018-02-01,ph
138,Meron Nang Iba,Silent Sanctuary,27463,https://open.spotify.com/track/4r7vGTk9HCW7YDorNWoclF,2018-02-01,ph
139,When You Say Nothing At All,Boyzone,27283,https://open.spotify.com/track/5Z6DLYbekZkL8OvH54S4n0,2018-02-01,ph
140,A Thousand Miles,Vanessa Carlton,27262,https://open.spotify.com/track/5y69gQtK33qxb8a24ACkCy,2018-02-01,ph
141,Happier,Ed Sheeran,27019,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2018-02-01,ph
142,HUMBLE.,Kendrick Lamar,26923,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2018-02-01,ph
143,You And Me,Lifehouse,26888,https://open.spotify.com/track/7L605WhF5EGf34ggj87yK6,2018-02-01,ph
144,The Way You Look at Me,Christian Bautista,26872,https://open.spotify.com/track/1C3wg8sCIPqpNQx0wAL4DC,2018-02-01,ph
145,More Than Words,Extreme,26823,https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH,2018-02-01,ph
146,Candy Paint,Post Malone,26756,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,2018-02-01,ph
147,Let Her Go,Passenger,26694,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h,2018-02-01,ph
148,Prinsesa,6cyclemind,26643,https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA,2018-02-01,ph
149,Harana,Parokya Ni Edgar,26058,https://open.spotify.com/track/3gyEt1vswIEbpQqBs18Lha,2018-02-01,ph
150,Congratulations,Post Malone,26020,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2018-02-01,ph
151,Your Song,Parokya Ni Edgar,25978,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2018-02-01,ph
152,Collide - Acoustic Version,Howie Day,25946,https://open.spotify.com/track/5rwq6R0Uq0BngM3rdmCeNg,2018-02-01,ph
153,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,25931,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh,2018-02-01,ph
154,So Slow,Freestyle,25830,https://open.spotify.com/track/1A40ESJJPEEJrqjC9BUO2B,2018-02-01,ph
155,Lonely Together (feat. Rita Ora),Avicii,25821,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2018-02-01,ph
156,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,25782,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2018-02-01,ph
157,Bodak Yellow,Cardi B,25622,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2018-02-01,ph
158,24K Magic,Bruno Mars,25572,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2018-02-01,ph
159,Paano Ba Ang Magmahal,Piolo Pascual,25346,https://open.spotify.com/track/2qqte0XT0eFFVLuNP7Qena,2018-02-01,ph
160,Stay,Zedd,25286,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo,2018-02-01,ph
161,The Man Who Can't Be Moved,The Script,25202,https://open.spotify.com/track/67EY6aDoIx8czEPS6a2AaI,2018-02-01,ph
162,Thinking out Loud,Ed Sheeran,25098,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2018-02-01,ph
163,Torete,Moonstar88,25013,https://open.spotify.com/track/3nQtkvFMNkRwxjKVAlGPcG,2018-02-01,ph
164,No Promises (feat. Demi Lovato),Cheat Codes,24976,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2018-02-01,ph
165,A Thousand Years,Christina Perri,24968,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,2018-02-01,ph
166,Just the Way You Are,Bruno Mars,24737,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2018-02-01,ph
167,Maybe The Night,Ben&Ben,24115,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2018-02-01,ph
168,Almost Is Never Enough,Ariana Grande,24042,https://open.spotify.com/track/442j8VxaB60dWf9cBFuX5w,2018-02-01,ph
169,Isang Araw,Kaye Cal,23952,https://open.spotify.com/track/4fxHK6mhA9vli9NjpBSbGi,2018-02-01,ph
